ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features
1,"
Toyota Corolla  2016 GLi Automatic 1.3 VVTi fo...

8.5/10",Toyota,Corolla,GLi Automatic 1.3 VVTi,"
PKR 19.75 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-3043514,2016,"

55,127 km","

Petrol","

Automatic",Karachi,Black,Local,1300 cc,https://cache3.pakwheels.com/ad_pictures/2673/toyota-corolla-gli-vvti-automatic-2016-26738863.jpg,https://cache1.pakwheels.com/ad_pictures/2673/toyota-corolla-gli-vvti-automatic-2016-26738865.jpg,https://cache4.pakwheels.com/ad_pictures/2673/toyota-corolla-gli-vvti-automatic-2016-26738861.jpg,https://cache1.pakwheels.com/ad_pictures/2673/toyota-corolla-gli-vvti-automatic-2016-26738866.jpg,https://cache4.pakwheels.com/ad_pictures/2673/toyota-corolla-gli-vvti-automatic-2016-26738867.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
2,"
Toyota Corolla  2018 GLi 1.3 VVTi for Sale

9.9/10",Toyota,Corolla,1.3 VVTi,"

                        Call",https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-3172381,2018,"

6,404 km","

Petrol","

Manual",Karachi,Bronze Mica,Local,1300 cc,https://cache1.pakwheels.com/ad_pictures/2812/toyota-corolla-gli-vvti-2018-28127277.jpg,https://cache1.pakwheels.com/ad_pictures/2812/toyota-corolla-gli-vvti-2018-28127273.jpg,https://cache1.pakwheels.com/ad_pictures/2812/toyota-corolla-gli-vvti-2018-28127275.jpg,https://cache2.pakwheels.com/ad_pictures/2812/toyota-corolla-gli-vvti-2018-28127271.jpg,https://cache3.pakwheels.com/ad_pictures/2812/toyota-corolla-gli-vvti-2018-28127274.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
3,"
Toyota Corolla  2015  for Sale",Toyota,Corolla,,"

                        Call",https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-3268074,2015,"

52,000 km","

Petrol","

Automatic",Karachi,Silver,Local,1300 cc,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-2015-29227732.jpg,https://cache2.pakwheels.com/ad_pictures/2922/toyota-corolla-2015-29227734.jpg,https://cache2.pakwheels.com/ad_pictures/2922/toyota-corolla-2015-29227727.jpg,https://cache4.pakwheels.com/ad_pictures/2922/toyota-corolla-2015-29227733.jpg,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-2015-29227731.jpg,[]
4,"
Toyota Corolla  2006 Altis Automatic 1.8 for Sale",Toyota,Corolla,Automatic 1.8,"
PKR 12.25 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2006-for-sale-in-lahore-3267943,2006,"

127,000 km","

Petrol","

Automatic",Lahore,Grey,Local,1800 cc,https://cache2.pakwheels.com/ad_pictures/2922/toyota-corolla-altis-1-8-automatic-2006-29226313.jpg,https://cache4.pakwheels.com/ad_pictures/2922/toyota-corolla-altis-1-8-automatic-2006-29226314.jpg,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-altis-1-8-automatic-2006-29226315.jpg,https://cache2.pakwheels.com/ad_pictures/2922/toyota-corolla-altis-1-8-automatic-2006-29226318.jpg,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-altis-1-8-automatic-2006-29226319.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'DVD Player', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
5,"
Toyota Corolla  2019 GLi 1.3 VVTi for Sale",Toyota,Corolla,1.3 VVTi,"
PKR 23.75 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-3267811,2019,"

204 km","

Petrol","

Manual",Karachi,Black,Local,1300 cc,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-2019-29224908.jpg,https://cache2.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-2019-29224907.jpg,https://cache1.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-2019-29224911.jpg,https://cache4.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-2019-29224905.jpg,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-2019-29224909.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
6,"
Toyota Corolla  2014 GLi Automatic Limited Edi...",Toyota,Corolla,Automatic Limited Edition 1.6 VVTi,"
PKR 17.5 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-rawalpindi-3267269,2014,"

72,500 km","

Petrol","

Automatic",Islamabad,Black,Local,1600 cc,https://cache4.pakwheels.com/ad_pictures/2921/toyota-corolla-1-6-gli-dual-vvti-automatic-limited-edition-2014-29218070.jpg,https://cache4.pakwheels.com/ad_pictures/2921/toyota-corolla-1-6-gli-dual-vvti-automatic-limited-edition-2014-29218067.jpg,https://cache3.pakwheels.com/ad_pictures/2921/toyota-corolla-1-6-gli-dual-vvti-automatic-limited-edition-2014-29218068.jpg,https://cache1.pakwheels.com/ad_pictures/2921/toyota-corolla-1-6-gli-dual-vvti-automatic-limited-edition-2014-29218069.jpg,https://cache1.pakwheels.com/ad_pictures/2921/toyota-corolla-1-6-gli-dual-vvti-automatic-limited-edition-2014-29218071.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear Camera']"
7,"
Toyota Corolla  2019 GLi Automatic 1.3 VVTi fo...",Toyota,Corolla,GLi Automatic 1.3 VVTi,"
PKR 25.5 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-3252528,2019,"

1 km","

Petrol","

Automatic",Un-Registered,White,Local,1300 cc,https://cache1.pakwheels.com/ad_pictures/2904/toyota-corolla-gli-vvti-automatic-2019-29049236.jpg,https://cache3.pakwheels.com/ad_pictures/2904/toyota-corolla-gli-vvti-automatic-2019-29049237.jpg,,,,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'DVD Player', 'Front Speakers', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear speakers', 'USB and Auxillary Cable']"
8,"
Toyota Corolla  2017 GLi Automatic 1.3 VVTi fo...",Toyota,Corolla,GLi Automatic 1.3 VVTi,"
PKR 24.25 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-3267438,2017,"

32,000 km","

Petrol","

Automatic",Lahore,Black,Local,1300 cc,https://cache4.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-automatic-2017-29220228.jpg,https://cache3.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-automatic-2017-29220229.jpg,https://cache4.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-automatic-2017-29220230.jpg,https://cache1.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-automatic-2017-29220231.jpg,https://cache2.pakwheels.com/ad_pictures/2922/toyota-corolla-gli-vvti-automatic-2017-29220232.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'DVD Player', 'Front Speakers', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear speakers', 'USB and Auxillary Cable']"
9,"
Toyota Corolla  2017 Altis Automatic 1.6 for Sale",Toyota,Corolla,Altis Automatic 1.6,"
PKR 26 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-peshawar-3255048,2017,"

30,000 km","

Petrol","

Automatic",Islamabad,White,Local,1600 cc,https://cache4.pakwheels.com/ad_pictures/2907/toyota-corolla-altis-1-6-automatic-2017-29079566.jpg,https://cache3.pakwheels.com/ad_pictures/2907/toyota-corolla-altis-1-6-automatic-2017-29079568.jpg,https://cache1.pakwheels.com/ad_pictures/2907/toyota-corolla-altis-1-6-automatic-2017-29079591.jpg,https://cache1.pakwheels.com/ad_pictures/2907/toyota-corolla-altis-1-6-automatic-2017-v-1-29079579.jpg,,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
10,"
Toyota Corolla  2018 Altis Automatic 1.6 for Sale",Toyota,Corolla,Automatic 1.6,"
PKR 13.9 lacs",https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-islamabad-3265787,2018,"

18,000 km","

Petrol","

Automatic",Islamabad,White,Local,1600 cc,https://cache2.pakwheels.com/ad_pictures/2920/toyota-corolla-altis-1-6-automatic-2018-29200388.jpg,https://cache3.pakwheels.com/ad_pictures/2920/toyota-corolla-altis-1-6-automatic-2018-29200385.jpg,https://cache2.pakwheels.com/ad_pictures/2920/toyota-corolla-altis-1-6-automatic-2018-29200387.jpg,https://cache3.pakwheels.com/ad_pictures/2920/toyota-corolla-altis-1-6-automatic-2018-29200389.jpg,https://cache3.pakwheels.com/ad_pictures/2920/toyota-corolla-altis-1-6-automatic-2018-29200390.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Immobilizer Key', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
