ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features
1,"
Mazda Scrum  2013 PC for Sale",Mazda,Scrum,PC,"
PKR 9.95 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-lahore-3036384,2013,"

81,800 km","

Petrol","

Automatic",Un-Registered,Silver,Imported,660 cc,https://cache1.pakwheels.com/ad_pictures/2779/mazda-scrum-pc-2-2013-27795526.jpg,https://cache4.pakwheels.com/ad_pictures/2779/mazda-scrum-pc-2-2013-27795527.jpg,https://cache4.pakwheels.com/ad_pictures/2779/mazda-scrum-pc-2-2013-27795528.jpg,https://cache2.pakwheels.com/ad_pictures/2779/mazda-scrum-pc-2-2013-27795529.jpg,https://cache4.pakwheels.com/ad_pictures/2779/mazda-scrum-pc-2-2013-27795530.jpg,"['AM/FM Radio', 'Air Conditioning', 'Power Steering', 'Power Windows']"
2,"
Mazda Scrum  2013 PA for Sale",Mazda,Scrum,,"
PKR 11 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-gujranwala-3264927,2013,"

49,000 km","

Petrol","

Manual",Un-Registered,White,Imported,660 cc,https://cache4.pakwheels.com/ad_pictures/2919/mazda-scrum-pa-2-2013-v-1-29191144.jpg,https://cache2.pakwheels.com/ad_pictures/2919/mazda-scrum-pa-2-2013-29191145.jpg,https://cache4.pakwheels.com/ad_pictures/2919/mazda-scrum-pa-2-2013-29191146.jpg,https://cache2.pakwheels.com/ad_pictures/2919/mazda-scrum-pa-2-2013-29191147.jpg,https://cache1.pakwheels.com/ad_pictures/2919/mazda-scrum-pa-2-2013-29191148.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Front Speakers', 'Power Steering']"
3,"
Mazda Scrum  2013 PC for Sale",Mazda,Scrum,PC,"
PKR 10.6 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-sialkot-2880810,2013,"

61,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2706/mazda-scrum-pc-2-2013-27064791.jpg,https://cache1.pakwheels.com/ad_pictures/2498/mazda-scrum-pc-2-2013-24985044.png,https://cache1.pakwheels.com/ad_pictures/2498/mazda-scrum-pc-2-2013-24985046.png,https://cache4.pakwheels.com/ad_pictures/2498/mazda-scrum-pc-2-2013-24985042.png,https://cache3.pakwheels.com/ad_pictures/2498/mazda-scrum-pc-2-2013-24985048.png,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Front Speakers', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows', 'Rear speakers', 'Steering Switches']"
4,"
Mazda Scrum  2014 PC for Sale",Mazda,Scrum,PC,"
PKR 9.85 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2014-for-sale-in-islamabad-2951156,2014,"

42,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache2.pakwheels.com/ad_pictures/2571/mazda-scrum-pc-2-2014-25712863.jpg,https://cache3.pakwheels.com/ad_pictures/2571/mazda-scrum-pc-2-2014-25712864.jpg,https://cache3.pakwheels.com/ad_pictures/2571/mazda-scrum-pc-2-2014-25712865.jpg,https://cache1.pakwheels.com/ad_pictures/2571/mazda-scrum-pc-2-2014-25713527.jpg,https://cache2.pakwheels.com/ad_pictures/2571/mazda-scrum-pc-2-2014-25713528.jpg,[]
5,"
Mazda Scrum  2013 PA for Sale",Mazda,Scrum,,"
PKR 9.65 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-lahore-3038525,2013,"

58,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache2.pakwheels.com/ad_pictures/2663/mazda-scrum-pa-2-2013-26639994.jpg,https://cache1.pakwheels.com/ad_pictures/2663/mazda-scrum-pa-2-2013-26639993.jpg,https://cache4.pakwheels.com/ad_pictures/2663/mazda-scrum-pa-2-2013-26639990.jpg,https://cache4.pakwheels.com/ad_pictures/2663/mazda-scrum-pa-2-2013-26639995.jpg,https://cache2.pakwheels.com/ad_pictures/2663/mazda-scrum-pa-2-2013-26639992.jpg,"['Air Bags', 'Air Conditioning']"
6,"
Mazda Scrum  2014 PA for Sale",Mazda,Scrum,,"
PKR 9.85 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2014-for-sale-in-lahore-2771063,2014,"

68,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2384/mazda-scrum-pa-2-2014-23847844.jpg,https://cache3.pakwheels.com/ad_pictures/2384/mazda-scrum-pa-2-2014-23847839.jpg,https://cache4.pakwheels.com/ad_pictures/2384/mazda-scrum-pa-2-2014-23847840.jpg,https://cache1.pakwheels.com/ad_pictures/2384/mazda-scrum-pa-2-2014-23847841.jpg,https://cache2.pakwheels.com/ad_pictures/2384/mazda-scrum-pa-2-2014-23847842.jpg,"['Air Conditioning', 'Power Locks', 'Power Windows']"
7,"
Mazda Scrum  2014 PC for Sale",Mazda,Scrum,,"
PKR 9.85 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2014-for-sale-in-lahore-2689967,2014,"

58,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache3.pakwheels.com/ad_pictures/2299/mazda-scrum-pc-2-2014-22998470.jpg,https://cache3.pakwheels.com/ad_pictures/2299/mazda-scrum-pc-2-2014-22998471.jpg,https://cache2.pakwheels.com/ad_pictures/2299/mazda-scrum-pc-2-2014-22998472.jpg,https://cache1.pakwheels.com/ad_pictures/2299/mazda-scrum-pc-2-2014-22998473.jpg,https://cache1.pakwheels.com/ad_pictures/2299/mazda-scrum-pc-2-2014-22998474.jpg,"['ABS', 'Air Bags']"
8,"
Mazda Scrum  2012 PA for Sale",Mazda,Scrum,PA,"

                        Call",https://www.pakwheels.com/used-cars/mazda-scrum-2012-for-sale-in-rawalpindi-3227608,2012,"

51,000 km","

Petrol","

Automatic",Un-Registered,Black,Imported,660 cc,https://cache2.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761134.jpg,https://cache4.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761136.jpg,https://cache2.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761137.jpg,https://cache3.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761138.jpg,https://cache2.pakwheels.com/ad_pictures/2876/mazda-scrum-pa-2-2012-28761139.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Cassette Player', 'DVD Player', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
9,"
Mazda Scrum  2013  for Sale",Mazda,Scrum,,"
PKR 11.55 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-islamabad-3267854,2013,"

78,000 km","

Petrol","

Automatic",Islamabad,White,Imported,660 cc,,,,,,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Steering', 'Power Windows']"
10,"
Mazda Scrum  2013  for Sale",Mazda,Scrum,,"
PKR 11 lacs",https://www.pakwheels.com/used-cars/mazda-scrum-2013-for-sale-in-rawalpindi-3194707,2013,"

40,000 km","

Petrol","

Automatic",Un-Registered,White,Imported,660 cc,https://cache1.pakwheels.com/ad_pictures/2837/mazda-scrum-2013-28379325.jpg,https://cache3.pakwheels.com/ad_pictures/2837/mazda-scrum-2013-28379326.jpg,https://cache1.pakwheels.com/ad_pictures/2837/mazda-scrum-2013-28379327.jpg,https://cache1.pakwheels.com/ad_pictures/2837/mazda-scrum-2013-28379328.jpg,https://cache4.pakwheels.com/ad_pictures/2837/mazda-scrum-2013-28379329.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'CD Player', 'CoolBox', 'Power Locks', 'Power Steering', 'Power Windows']"
