ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features
1,"
Suzuki Mehran  2019 VXR Euro II for Sale

10/10",Suzuki,Mehran,VXR Euro II,"

                        Call",https://www.pakwheels.com/used-cars/suzuki-mehran-2019-for-sale-in-lahore-3212544,2019,"

1 km","

Petrol","

Manual",Un-Registered,Grey,Local,800 cc,https://cache2.pakwheels.com/ad_pictures/2858/suzuki-mehran-vxr-euro-ii-2019-28584488.jpg,https://cache1.pakwheels.com/ad_pictures/2858/suzuki-mehran-vxr-euro-ii-2019-28584489.jpg,https://cache2.pakwheels.com/ad_pictures/2858/suzuki-mehran-vxr-euro-ii-2019-28584490.jpg,https://cache3.pakwheels.com/ad_pictures/2858/suzuki-mehran-vxr-euro-ii-2019-28584491.jpg,https://cache1.pakwheels.com/ad_pictures/2858/suzuki-mehran-vxr-euro-ii-2019-28584492.jpg,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']"
2,"
Suzuki Mehran  2019 VXR Euro II for Sale",Suzuki,Mehran,Euro II,"
PKR 8.8 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2019-for-sale-in-lahore-3249121,2019,"

1,000 km","

Petrol","

Manual",Un-Registered,Grey,Local,800 cc,https://cache1.pakwheels.com/ad_pictures/2905/suzuki-mehran-vxr-euro-ii-2019-29055336.jpg,https://cache3.pakwheels.com/ad_pictures/2905/suzuki-mehran-vxr-euro-ii-2019-29055334.jpg,https://cache3.pakwheels.com/ad_pictures/2905/suzuki-mehran-vxr-euro-ii-2019-29055339.jpg,https://cache4.pakwheels.com/ad_pictures/2905/suzuki-mehran-vxr-euro-ii-2019-29055340.jpg,https://cache2.pakwheels.com/ad_pictures/2905/suzuki-mehran-vxr-euro-ii-2019-29055341.jpg,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']"
3,"
Suzuki Mehran  2006 VX for Sale",Suzuki,Mehran,VX,"
PKR 4.7 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-rawalpindi-3193028,2006,"

99,307 km","

Petrol","

Manual",Islamabad,White,Local,800 cc,https://cache1.pakwheels.com/ad_pictures/2835/suzuki-mehran-vx-2-2006-28358522.jpg,https://cache4.pakwheels.com/ad_pictures/2835/suzuki-mehran-vx-2-2006-28358527.jpg,https://cache2.pakwheels.com/ad_pictures/2835/suzuki-mehran-vx-2-2006-28358529.jpg,https://cache1.pakwheels.com/ad_pictures/2835/suzuki-mehran-vx-2-2006-28358532.jpg,https://cache4.pakwheels.com/ad_pictures/2835/suzuki-mehran-vx-2-2006-28358534.jpg,[]
4,"
Suzuki Mehran  2019 VX Euro II for Sale",Suzuki,Mehran,Euro II,"
PKR 8.1 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2019-for-sale-in-rawalpindi-3267387,2019,"

85 km","

Petrol","

Manual",Un-Registered,White,Local,800 cc,https://cache2.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-euro-ii-2019-29219594.jpg,https://cache4.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-euro-ii-2019-29219598.jpg,https://cache3.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-euro-ii-2019-29219600.jpg,https://cache1.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-euro-ii-2019-29219601.jpg,https://cache3.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-euro-ii-2019-29219607.jpg,"['AM/FM Radio', 'Immobilizer Key']"
5,"
Suzuki Mehran  1997 VX for Sale",Suzuki,Mehran,,"
PKR 2.9 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-1997-for-sale-in-rawalpindi-3267383,1997,"

246,000 km","

Petrol","

Manual",Lahore,White,Local,800 cc,https://cache1.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-2-1997-29219493.jpg,https://cache1.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-2-1997-29219494.jpg,https://cache4.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-2-1997-29219495.jpg,https://cache1.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-2-1997-29219496.jpg,https://cache3.pakwheels.com/ad_pictures/2921/suzuki-mehran-vx-2-1997-29219586.jpg,[]
6,"
Suzuki Mehran  2015 VXR Euro II for Sale",Suzuki,Mehran,VXR Euro II,"
PKR 6.25 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-karachi-3227582,2015,"

45,000 km","

Petrol","

Manual",Karachi,White,Local,800 cc,https://cache3.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760918.jpg,https://cache2.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760932.jpg,https://cache1.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760936.jpg,https://cache1.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760935.jpg,https://cache1.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760947.jpg,"['AM/FM Radio', 'Air Conditioning', 'CD Player']"
7,"
Suzuki Mehran  2015 VXR Euro II for Sale",Suzuki,Mehran,Euro II,"
PKR 6.25 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-karachi-3227577,2015,"

45,000 km","

Petrol","

Manual",Karachi,White,Local,800 cc,https://cache3.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760884.jpg,https://cache2.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760890.jpg,https://cache3.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760891.jpg,https://cache3.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760892.jpg,https://cache4.pakwheels.com/ad_pictures/2876/suzuki-mehran-vxr-euro-ii-2015-28760899.jpg,"['AM/FM Radio', 'Air Conditioning', 'CD Player']"
8,"
Suzuki Mehran  2012 VXR Euro II for Sale",Suzuki,Mehran,Euro II,"
PKR 5.2 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-lahore-3210629,2012,"

75,000 km","

Petrol","

Manual",Lahore,White,Local,800 cc,https://cache2.pakwheels.com/ad_pictures/2856/suzuki-mehran-vxr-euro-ii-2012-28562760.jpg,https://cache1.pakwheels.com/ad_pictures/2856/suzuki-mehran-vxr-euro-ii-2012-28562761.jpg,https://cache4.pakwheels.com/ad_pictures/2856/suzuki-mehran-vxr-euro-ii-2012-28562762.jpg,https://cache3.pakwheels.com/ad_pictures/2856/suzuki-mehran-vxr-euro-ii-2012-28562763.jpg,https://cache1.pakwheels.com/ad_pictures/2856/suzuki-mehran-vxr-euro-ii-2012-28562764.jpg,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']"
9,"
Suzuki Mehran  2010 VXR (CNG) for Sale",Suzuki,Mehran,(CNG),"
PKR 5.9 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2010-for-sale-in-islamabad-3215793,2010,"

25,000 km","

Petrol","

Manual",Islamabad,White,Local,800 cc,https://cache3.pakwheels.com/ad_pictures/2862/suzuki-mehran-vxr-cng-4-2010-28622740.jpg,https://cache3.pakwheels.com/ad_pictures/2862/suzuki-mehran-vxr-cng-4-2010-28622738.jpg,https://cache1.pakwheels.com/ad_pictures/2862/suzuki-mehran-vxr-cng-4-2010-28622739.jpg,https://cache3.pakwheels.com/ad_pictures/2862/suzuki-mehran-vxr-cng-4-2010-28622741.jpg,https://cache4.pakwheels.com/ad_pictures/2862/suzuki-mehran-vxr-cng-4-2010-28622742.jpg,"['Air Conditioning', 'Front Speakers']"
10,"
Suzuki Mehran  2019 VXR Euro II for Sale",Suzuki,Mehran,VXR Euro II,"
PKR 9.2 lacs",https://www.pakwheels.com/used-cars/suzuki-mehran-2019-for-sale-in-vehari-3241560,2019,"

300 km","

Petrol","

Manual",Lahore,Grey,Local,800 cc,https://cache1.pakwheels.com/ad_pictures/2892/suzuki-mehran-vxr-euro-ii-2019-28921930.jpg,https://cache4.pakwheels.com/ad_pictures/2892/suzuki-mehran-vxr-euro-ii-2019-28921931.jpg,https://cache3.pakwheels.com/ad_pictures/2892/suzuki-mehran-vxr-euro-ii-2019-28921932.jpg,https://cache3.pakwheels.com/ad_pictures/2892/suzuki-mehran-vxr-euro-ii-2019-28921933.jpg,https://cache1.pakwheels.com/ad_pictures/2892/suzuki-mehran-vxr-euro-ii-2019-28921934.jpg,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']"
