ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features

1,"
Mitsubishi Pajero  2001  for Sale",Mitsubishi,Pajero,,"
PKR 20 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-2001-for-sale-in-islamabad-3267528,2001,"

80,000 km","

Petrol","

Automatic",Islamabad,White,Imported,2000 cc,https://cache2.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-2001-29221250.jpg,https://cache4.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-2001-29221255.jpg,https://cache4.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-2001-29221253.jpg,https://cache1.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-2001-29221254.jpg,https://cache4.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-2001-29221248.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Cassette Player', 'CoolBox', 'Cruise Control', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"

2,"
Mitsubishi Pajero  2000 GLX 3.5 for Sale",Mitsubishi,Pajero,GLX 3.5,"
PKR 27.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-2000-for-sale-in-rawalpindi-3186972,2000,"

78,000 km","

Petrol","

Automatic",Islamabad,Black,Imported,3500 cc,https://cache2.pakwheels.com/ad_pictures/2830/mitsubishi-pajero-gls-automatic-v6-p-2000-28302854.jpg,https://cache2.pakwheels.com/ad_pictures/2830/mitsubishi-pajero-gls-automatic-v6-p-2000-28302855.jpg,https://cache4.pakwheels.com/ad_pictures/2830/mitsubishi-pajero-gls-automatic-v6-p-2000-28302856.jpg,https://cache1.pakwheels.com/ad_pictures/2830/mitsubishi-pajero-gls-automatic-v6-p-2000-28302857.jpg,https://cache4.pakwheels.com/ad_pictures/2830/mitsubishi-pajero-gls-automatic-v6-p-2000-28302858.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"

3,"
Mitsubishi Pajero  1992  for Sale",Mitsubishi,Pajero,,"
PKR 15.9 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1992-for-sale-in-islamabad-3267069,1992,"

90,000 km","

Petrol","

Automatic",Sargodha,Silver,Imported,3000 cc,https://cache1.pakwheels.com/ad_pictures/2921/mitsubishi-pajero-1992-29215789.jpg,https://cache4.pakwheels.com/ad_pictures/2921/mitsubishi-pajero-1992-29215790.jpg,https://cache2.pakwheels.com/ad_pictures/2921/mitsubishi-pajero-1992-29215791.jpg,https://cache3.pakwheels.com/ad_pictures/2921/mitsubishi-pajero-1992-29215795.jpg,https://cache3.pakwheels.com/ad_pictures/2921/mitsubishi-pajero-1992-29215797.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Climate Control', 'DVD Player', 'Front Speakers', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear AC Vents', 'Rear Camera', 'Rear speakers', 'Sun Roof']"

4,"
Mitsubishi Pajero  1992 Exceed 3.5 for Sale",Mitsubishi,Pajero,3.5,"
PKR 12.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1992-for-sale-in-peshawar-3100251,1992,"

120,000 km","

Petrol","

Automatic",Peshawar,Red,Imported,3500 cc,https://cache2.pakwheels.com/ad_pictures/2731/mitsubishi-pajero-exceed-3-5-1992-27319463.jpg,https://cache4.pakwheels.com/ad_pictures/2731/mitsubishi-pajero-exceed-3-5-1992-27319470.jpg,https://cache2.pakwheels.com/ad_pictures/2731/mitsubishi-pajero-exceed-3-5-1992-27319457.jpg,https://cache2.pakwheels.com/ad_pictures/2731/mitsubishi-pajero-exceed-3-5-1992-27319465.jpg,https://cache2.pakwheels.com/ad_pictures/2731/mitsubishi-pajero-exceed-3-5-1992-27319464.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

5,"
Mitsubishi Pajero  1985 Exceed 2.5D for Sale",Mitsubishi,Pajero,Exceed 2.5D,"
PKR 4.75 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1985-for-sale-in-rawalpindi-3244842,1985,"

225,000 km","

Diesel","

Manual",Hyderabad,Blue,Imported,2500 cc,https://cache1.pakwheels.com/ad_pictures/2897/mitsubishi-pajero-exceed-2-5d-1985-28977717.jpg,https://cache3.pakwheels.com/ad_pictures/2896/mitsubishi-pajero-exceed-2-5d-1985-28960918.jpg,https://cache1.pakwheels.com/ad_pictures/2897/mitsubishi-pajero-exceed-2-5d-1985-28977716.jpg,https://cache2.pakwheels.com/ad_pictures/2897/mitsubishi-pajero-exceed-2-5d-1985-28977718.jpg,https://cache3.pakwheels.com/ad_pictures/2896/mitsubishi-pajero-exceed-2-5d-1985-28960910.jpg,"['AM/FM Radio', 'Cassette Player', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"

6,"
Mitsubishi Pajero  1995  for Sale",Mitsubishi,Pajero,,"
PKR 18 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1995-for-sale-in-islamabad-3244607,1995,"

210,000 km","

Petrol","

Automatic",Islamabad,Silver,Imported,3000 cc,https://cache2.pakwheels.com/ad_pictures/2895/mitsubishi-pajero-1995-28958221.jpg,https://cache2.pakwheels.com/ad_pictures/2895/mitsubishi-pajero-1995-28958222.jpg,https://cache1.pakwheels.com/ad_pictures/2895/mitsubishi-pajero-1995-28958223.jpg,https://cache1.pakwheels.com/ad_pictures/2895/mitsubishi-pajero-1995-28958224.jpg,https://cache4.pakwheels.com/ad_pictures/2895/mitsubishi-pajero-1995-28958225.jpg,"['ABS', 'AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Climate Control', 'Front Speakers', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear AC Vents', 'Rear Camera', 'Rear Seat Entertainment', 'Rear speakers', 'Sun Roof', 'USB and Auxillary Cable']"

7,"
Mitsubishi Pajero  1993 Exceed Automatic 2.8D ...",Mitsubishi,Pajero,Exceed Automatic 2.8D,"
PKR 14.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-islamabad-3268282,1993,"

158,000 km","

Diesel","

Automatic",Karachi,White,Imported,2800 cc,,,,,,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

8,"
Mitsubishi Pajero  1997 Exceed 3.5 for Sale",Mitsubishi,Pajero,Exceed 3.5,"
PKR 14.25 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1997-for-sale-in-karachi-3267458,1997,"

123,456 km","

Petrol","

Automatic",Islamabad,Silver,Imported,3500 cc,https://cache4.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-exceed-3-5-1997-29220555.jpg,https://cache2.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-exceed-3-5-1997-29220556.jpg,,,,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

9,"
Mitsubishi Pajero  2005 GLS 2.8D for Sale",Mitsubishi,Pajero,GLS 2.8D,"
PKR 35 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-2005-for-sale-in-islamabad-3267420,2005,"

141,000 km","

Diesel","

Automatic",Islamabad,Black,Imported,2800 cc,https://cache2.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-gls-automatic-ltd-2005-29220034.jpg,https://cache1.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-gls-automatic-ltd-2005-29220035.jpg,https://cache1.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-gls-automatic-ltd-2005-29220036.jpg,https://cache3.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-gls-automatic-ltd-2005-29220037.jpg,https://cache2.pakwheels.com/ad_pictures/2922/mitsubishi-pajero-gls-automatic-ltd-2005-29220038.jpg,"['ABS', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'DVD Player', 'Immobilizer Key', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear AC Vents', 'Rear Seat Entertainment', 'Sun Roof']"

